"InvoiceId";"CustomerId";"InvoiceDate";"BillingAddress";"BillingCity";"BillingState";"BillingCountry";"BillingPostalCode";"Total"
4;14;"2009-01-06 00:00:00";"8210 111 ST NW";"Edmonton";"AB";"Canada";"T6G 2C7";8.91
5;23;"2009-01-11 00:00:00";"69 Salem Street";"Boston";"MA";"USA";"2113";13.86
8;40;"2009-02-01 00:00:00";"8, Rue Hanovre";"Paris";"";"France";"75002";1.98
9;42;"2009-02-02 00:00:00";"9, Place Louis Barthou";"Bordeaux";"";"France";"33000";3.96
10;46;"2009-02-03 00:00:00";"3 Chatham Street";"Dublin";"Dublin";"Ireland";"";5.94
11;52;"2009-02-06 00:00:00";"202 Hoxton Street";"London";"";"United Kingdom";"N1 5LH";8.91
13;16;"2009-02-19 00:00:00";"1600 Amphitheatre Parkway";"Mountain View";"CA";"USA";"94043-1351";0.99
14;17;"2009-03-04 00:00:00";"1 Microsoft Way";"Redmond";"WA";"USA";"98052-8300";1.98
15;19;"2009-03-04 00:00:00";"1 Infinite Loop";"Cupertino";"CA";"USA";"95014";1.98
16;21;"2009-03-05 00:00:00";"801 W 4th Street";"Reno";"NV";"USA";"89503";3.96
17;25;"2009-03-06 00:00:00";"319 N. Frances Street";"Madison";"WI";"USA";"53703";5.94
18;31;"2009-03-09 00:00:00";"194A Chain Lake Drive";"Halifax";"NS";"Canada";"B3S 1C5";8.91
19;40;"2009-03-14 00:00:00";"8, Rue Hanovre";"Paris";"";"France";"75002";13.86
20;54;"2009-03-22 00:00:00";"110 Raeburn Pl";"Edinburgh";"";"United Kingdom";"EH4 1HH";0.99
21;55;"2009-04-04 00:00:00";"421 Bourke Street";"Sidney";"NSW";"Australia";"2010";1.98
22;57;"2009-04-04 00:00:00";"Calle Lira, 198";"Santiago";"";"Chile";"";1.98
23;59;"2009-04-05 00:00:00";"3,Raj Bhavan Road";"Bangalore";"";"India";"560001";3.96
26;19;"2009-04-14 00:00:00";"1 Infinite Loop";"Cupertino";"CA";"USA";"95014";13.86
27;33;"2009-04-22 00:00:00";"5112 48 Street";"Yellowknife";"NT";"Canada";"X1A 1N6";0.99
31;42;"2009-05-07 00:00:00";"9, Place Louis Barthou";"Bordeaux";"";"France";"33000";5.94
32;48;"2009-05-10 00:00:00";"Lijnbaansgracht 120bg";"Amsterdam";"VV";"Netherlands";"1016";8.91
33;57;"2009-05-15 00:00:00";"Calle Lira, 198";"Santiago";"";"Chile";"";13.86
36;15;"2009-06-05 00:00:00";"700 W Pender Street";"Vancouver";"BC";"Canada";"V6C 1G8";1.98
37;17;"2009-06-06 00:00:00";"1 Microsoft Way";"Redmond";"WA";"USA";"98052-8300";3.96
38;21;"2009-06-07 00:00:00";"801 W 4th Street";"Reno";"NV";"USA";"89503";5.94
39;27;"2009-06-10 00:00:00";"1033 N Park Ave";"Tucson";"AZ";"USA";"85719";8.91
42;51;"2009-07-06 00:00:00";"Celsiusg. 9";"Stockholm";"";"Sweden";"11230";1.98
43;53;"2009-07-06 00:00:00";"113 Lupus St";"London";"";"United Kingdom";"SW1V 3EN";1.98
44;55;"2009-07-07 00:00:00";"421 Bourke Street";"Sidney";"NSW";"Australia";"2010";3.96
45;59;"2009-07-08 00:00:00";"3,Raj Bhavan Road";"Bangalore";"";"India";"560001";5.94
47;15;"2009-07-16 00:00:00";"700 W Pender Street";"Vancouver";"BC";"Canada";"V6C 1G8";13.86
48;29;"2009-07-24 00:00:00";"796 Dundas Street West";"Toronto";"ON";"Canada";"M6J 1V1";0.99
49;30;"2009-08-06 00:00:00";"230 Elgin Street";"Ottawa";"ON";"Canada";"K2P 1L7";1.98
50;32;"2009-08-06 00:00:00";"696 Osborne Street";"Winnipeg";"MB";"Canada";"R3L 2B9";1.98
54;53;"2009-08-16 00:00:00";"113 Lupus St";"London";"";"United Kingdom";"SW1V 3EN";13.86
59;17;"2009-09-08 00:00:00";"1 Microsoft Way";"Redmond";"WA";"USA";"98052-8300";5.94
60;23;"2009-09-11 00:00:00";"69 Salem Street";"Boston";"MA";"USA";"2113";8.91
61;32;"2009-09-16 00:00:00";"696 Osborne Street";"Winnipeg";"MB";"Canada";"R3L 2B9";13.86
62;46;"2009-09-24 00:00:00";"3 Chatham Street";"Dublin";"Dublin";"Ireland";"";0.99
63;47;"2009-10-07 00:00:00";"Via Degli Scipioni, 43";"Rome";"RM";"Italy";"00192";1.98
65;51;"2009-10-08 00:00:00";"Celsiusg. 9";"Stockholm";"";"Sweden";"11230";3.96
66;55;"2009-10-09 00:00:00";"421 Bourke Street";"Sidney";"NSW";"Australia";"2010";5.94
69;25;"2009-10-25 00:00:00";"319 N. Frances Street";"Madison";"WI";"USA";"53703";0.99
70;26;"2009-11-07 00:00:00";"2211 W Berry Street";"Fort Worth";"TX";"USA";"76110";1.98
71;28;"2009-11-07 00:00:00";"302 S 700 E";"Salt Lake City";"UT";"USA";"84102";1.98
72;30;"2009-11-08 00:00:00";"230 Elgin Street";"Ottawa";"ON";"Canada";"K2P 1L7";3.96
74;40;"2009-11-12 00:00:00";"8, Rue Hanovre";"Paris";"";"France";"75002";8.91
81;19;"2009-12-13 00:00:00";"1 Infinite Loop";"Cupertino";"CA";"USA";"95014";8.91
82;28;"2009-12-18 00:00:00";"302 S 700 E";"Salt Lake City";"UT";"USA";"84102";13.86
83;42;"2009-12-26 00:00:00";"9, Place Louis Barthou";"Bordeaux";"";"France";"33000";0.99
84;43;"2010-01-08 00:00:00";"68, Rue Jouvence";"Dijon";"";"France";"21000";1.98
86;47;"2010-01-09 00:00:00";"Via Degli Scipioni, 43";"Rome";"RM";"Italy";"00192";3.96
87;51;"2010-01-10 00:00:00";"Celsiusg. 9";"Stockholm";"";"Sweden";"11230";6.94
